#Year 2015
Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 1-additional,Week 3-additional,Week 5-additional,Week 7-additional,Week 12-additional,Week 14-additional,Week 16-additional,Week 17-additional
Arizona Cardinals,1028446,513487,514959,62903,62351,63663,63146,60816,63846,64722,67431,Bye,69005,64745,70799,51115,64784,69596,64878,64646,*,*,*,*,*,*,*,*
Carolina Panthers,1157689,592454,565235,60733,73254,73402,57468,Bye,69020,74194,74136,74461,63591,74418,90909,73097,74420,79436,70981,74169,*,*,*,*,*,*,*,*
Cleveland Browns,1062262,529488,532774,78160,67431,67431,63710,71046,67431,51523,67431,65816,64402,Bye,64380,64775,63916,69002,69115,66693,*,*,*,*,*,*,*,*
Oakland Raiders,970514,436397,534117,54500,53500,67431,62409,54500,Bye,67542,54700,65520,54700,60202,58075,55010,76824,55087,54400,76114,*,*,*,*,*,*,*,*
Pittsburgh Steelers,1050712,514854,535858,66829,66472,52433,63929,67658,63846,76365,64750,65520,64402,Bye,69055,58701,65564,67234,71261,66693,*,*,*,*,*,*,*,*
,17509479,,,1097396,1081704,1104357,1022945,980190,936878,964457,979551,908385,966084,924124,1129724,1025864,1089180,1092751,1072712,1133177,-9999,,,,,,,
#2016 season
Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 1-additional,Week 3-additional,Week 6-additional,Week 9-additional,Week 11-additional,Week 12-additional,Week 14-additional,Week 15-additional
Arizona Cardinals,1083135,518652,564483,64864,64230,68647,64622,70178,64709,65089,74088,Bye,65127,66808,69233,64939,65750,65072,69050,80729,*,*,*,*,*,*,*,*
Carolina Panthers,1159680,590343,569337,76843,74143,73813,70508,73425,73138,Bye,74088,86109,74181,73288,54909,69104,73856,76689,73549,62037,*,*,*,*,*,*,*,*
Cleveland Browns,1044825,514489,530336,69596,67431,65176,76249,67431,60897,65047,67431,67431,70921,67431,60034,Bye,60028,66529,57272,55921,*,*,*,*,*,*,*,*
Oakland Raiders,1009172,458561,550611,73028,54081,62370,71152,54275,54211,62614,61068,54957,Bye,76473,54909,54759,75191,68352,54896,76836,*,*,*,*,*,*,*,*
Pittsburgh Steelers,1065627,514503,551124,79124,65072,69596,61278,66385,65351,66009,Bye,71286,67737,67431,66583,65825,69657,62096,66276,55921,*,*,*,*,*,*,*,*
,17788671,,,1151890,1099408,1111097,1023936,989324,1007978,1043599,930069,893692,969335,1016109,1104966,990420,1113108,1144624,1115813,1083303,-9999,,,,,,,
#2017
Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 1-additional,Week 3-additional,Week 4-additional,Week 6-additional,Week 8-additional,Week 10-additional,Week 13-additional,Week 16-additional
Arizona Cardinals,1063084,513741,549343,60957,63137,65102,64121,69596,63999,73736,Bye,70133,64639,71680,63891,63986,64153,71026,63850,69078,*,*,*,*,*,*,*,*
Carolina Panthers,1133961,588942,545019,70178,74122,73775,65878,64288,74373,61256,58545,74244,72790,Bye,77562,73171,73728,74447,71463,74141,*,*,*,*,*,*,*,*
